epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.6203,3.69841,3.74417,4.3137,0.00367,0.27706,0.0093,0.00282,3.6147,3.77769,4.15826,0.00018,0.00018,0.00018
2,97.7035,3.57853,3.63184,4.22781,0.00371,0.2789,0.00806,0.00248,3.61446,3.77567,4.15615,0.000378119,0.000378119,0.000378119
3,153.978,3.5789,3.53238,4.17482,0.00374,0.28257,0.00629,0.00215,3.6149,3.77143,4.15371,0.000574258,0.000574258,0.000574258
4,213.3,3.52177,3.45009,4.10266,0.00374,0.2844,0.01103,0.0031,3.60606,3.77289,4.14723,0.000768417,0.000768417,0.000768417
5,273.907,3.40577,3.40882,3.94743,0.00362,0.28073,0.00513,0.00173,3.56288,3.77902,4.15196,0.000960596,0.000960596,0.000960596
6,325.134,3.339,3.36851,3.80506,0.00353,0.27706,0.005,0.00174,3.70378,3.82919,4.26869,0.0011508,0.0011508,0.0011508
7,375.142,3.2334,3.29933,3.69366,0.00755,0.2367,0.00663,0.0023,3.83734,3.92818,4.3946,0.00133901,0.00133901,0.00133901
8,423.265,3.18613,3.2958,3.55856,0.00353,0.26789,0.00564,0.00182,3.8409,3.99327,4.4208,0.00152525,0.00152525,0.00152525
9,469.471,3.18065,3.2892,3.50581,0.00373,0.26422,0.00552,0.00179,3.62006,3.97831,4.17323,0.00170951,0.00170951,0.00170951
10,514.897,3.00666,3.24099,3.40227,0.00837,0.23119,0.00964,0.00277,3.97488,4.13563,4.60051,0.00189179,0.00189179,0.00189179
11,560.146,3.1064,3.25722,3.40255,0.03327,0.01651,0.00513,0.00157,3.83714,3.90782,4.60731,0.001901,0.001901,0.001901
12,605.559,3.11156,3.1562,3.28553,0.00738,0.31193,0.00631,0.0024,3.49492,3.82713,4.11225,0.0018911,0.0018911,0.0018911
13,650.878,3.03549,3.20951,3.29447,0.01507,0.04954,0.00699,0.00235,3.18711,3.77968,3.77953,0.0018812,0.0018812,0.0018812
14,704.374,3.00659,3.15041,3.17815,0.04019,0.09358,0.01329,0.00391,3.09067,4.42236,3.60978,0.0018713,0.0018713,0.0018713
15,750.869,3.00061,3.08972,3.09921,0.0459,0.08991,0.0162,0.00489,2.98522,4.29519,3.43352,0.0018614,0.0018614,0.0018614
16,798.141,2.94073,3.20789,3.1125,0.03857,0.10642,0.01586,0.00468,2.93969,3.86803,3.22962,0.0018515,0.0018515,0.0018515
17,845.021,2.97256,3.11501,3.11113,0.13786,0.09725,0.04035,0.01092,2.94745,3.94444,3.21036,0.0018416,0.0018416,0.0018416
18,891.618,2.89953,3.00797,3.04705,0.08329,0.15046,0.03596,0.00953,2.94861,3.86047,3.27381,0.0018317,0.0018317,0.0018317
19,937.949,2.89282,2.97916,3.01708,0.11678,0.12477,0.04067,0.01141,2.88105,5.38048,3.14129,0.0018218,0.0018218,0.0018218
20,983.953,2.82101,2.98807,2.99208,0.11984,0.10459,0.03238,0.00886,2.99997,5.17336,3.28035,0.0018119,0.0018119,0.0018119
21,1030.06,2.83231,2.98081,3.02754,0.09369,0.13945,0.02866,0.00862,2.97951,3.64299,3.30413,0.001802,0.001802,0.001802
22,1076.51,2.79743,2.95098,2.94525,0.09689,0.07523,0.02273,0.00613,2.90977,6.85882,3.21526,0.0017921,0.0017921,0.0017921
23,1122.52,2.74782,2.92317,2.89879,0.07164,0.0789,0.02359,0.00697,2.98279,5.46892,3.28606,0.0017822,0.0017822,0.0017822
24,1168.73,2.77317,2.91132,2.98321,0.15464,0.14312,0.0524,0.01563,2.82091,3.4508,3.11335,0.0017723,0.0017723,0.0017723
25,1214.55,2.73959,2.89797,2.93952,0.15715,0.15046,0.06405,0.0208,2.7551,3.25362,3.06167,0.0017624,0.0017624,0.0017624
26,1261.12,2.76904,2.79526,2.86134,0.10498,0.14184,0.05469,0.01617,2.77342,3.34261,3.04004,0.0017525,0.0017525,0.0017525
27,1306.91,2.7035,2.83399,2.88906,0.1864,0.14312,0.07985,0.02686,2.71631,2.9142,3.01069,0.0017426,0.0017426,0.0017426
28,1352.62,2.65723,2.79933,2.81069,0.17926,0.10826,0.0818,0.02885,2.59378,2.99652,2.91548,0.0017327,0.0017327,0.0017327
29,1398.48,2.64881,2.75732,2.79899,0.2128,0.1945,0.10059,0.03247,2.64016,2.92041,2.85778,0.0017228,0.0017228,0.0017228
30,1444.03,2.61469,2.74107,2.79676,0.20392,0.14128,0.08033,0.02857,2.64731,2.9805,2.92443,0.0017129,0.0017129,0.0017129
31,1489.65,2.64284,2.68922,2.79999,0.15307,0.20917,0.07853,0.02913,2.61089,2.96539,2.8646,0.001703,0.001703,0.001703
32,1535.35,2.57337,2.69464,2.78795,0.14036,0.20917,0.07331,0.02545,2.66179,2.89831,2.86248,0.0016931,0.0016931,0.0016931
33,1581.35,2.61868,2.75052,2.80335,0.08236,0.20917,0.0439,0.01295,2.72331,4.04019,2.91871,0.0016832,0.0016832,0.0016832
34,1627.35,2.57707,2.63502,2.73002,0.209,0.19633,0.11778,0.03839,2.53076,2.93267,2.75004,0.0016733,0.0016733,0.0016733
35,1673.26,2.52242,2.65269,2.73648,0.21383,0.19817,0.12,0.03887,2.47628,2.77494,2.71866,0.0016634,0.0016634,0.0016634
36,1720.12,2.55626,2.66542,2.74391,0.18972,0.16369,0.08862,0.02962,2.51106,2.83983,2.7683,0.0016535,0.0016535,0.0016535
37,1766.52,2.51362,2.6,2.71472,0.17162,0.13945,0.07,0.02259,2.52145,3.30624,2.81698,0.0016436,0.0016436,0.0016436
38,1813.15,2.47816,2.63541,2.68505,0.21459,0.21835,0.12525,0.04375,2.40402,2.75854,2.66341,0.0016337,0.0016337,0.0016337
